nr,scatter,real
1,./data/scatter/1s.png,./data/real/1r.png
2,./data/scatter/2s.png,./data/real/2r.png
3,./data/scatter/3s.png,./data/real/3r.png
4,./data/scatter/4s.png,./data/real/4r.png
5,./data/scatter/5s.png,./data/real/5r.png
6,./data/scatter/6s.png,./data/real/6r.png
7,./data/scatter/7s.png,./data/real/7r.png
8,./data/scatter/8s.png,./data/real/8r.png
9,./data/scatter/9s.png,./data/real/9r.png
10,./data/scatter/10s.png,./data/real/10r.png
11,./data/scatter/11s.png,./data/real/11r.png
12,./data/scatter/12s.png,./data/real/12r.png
13,./data/scatter/13s.png,./data/real/13r.png
14,./data/scatter/14s.png,./data/real/14r.png
15,./data/scatter/15s.png,./data/real/15r.png
16,./data/scatter/16s.png,./data/real/16r.png
17,./data/scatter/17s.png,./data/real/17r.png
18,./data/scatter/18s.png,./data/real/18r.png
19,./data/scatter/19s.png,./data/real/19r.png
20,./data/scatter/20s.png,./data/real/20r.png
21,./data/scatter/21s.png,./data/real/21r.png
22,./data/scatter/22s.png,./data/real/22r.png
23,./data/scatter/23s.png,./data/real/23r.png
24,./data/scatter/24s.png,./data/real/24r.png
25,./data/scatter/25s.png,./data/real/25r.png
26,./data/scatter/26s.png,./data/real/26r.png
27,./data/scatter/27s.png,./data/real/27r.png
28,./data/scatter/28s.png,./data/real/28r.png
29,./data/scatter/29s.png,./data/real/29r.png
30,./data/scatter/30s.png,./data/real/30r.png
31,./data/scatter/31s.png,./data/real/31r.png
32,./data/scatter/32s.png,./data/real/32r.png
33,./data/scatter/33s.png,./data/real/33r.png
34,./data/scatter/34s.png,./data/real/34r.png
35,./data/scatter/35s.png,./data/real/35r.png
36,./data/scatter/36s.png,./data/real/36r.png
37,./data/scatter/37s.png,./data/real/37r.png
38,./data/scatter/38s.png,./data/real/38r.png
39,./data/scatter/39s.png,./data/real/39r.png
40,./data/scatter/40s.png,./data/real/40r.png
41,./data/scatter/41s.png,./data/real/41r.png
42,./data/scatter/42s.png,./data/real/42r.png
43,./data/scatter/43s.png,./data/real/43r.png
44,./data/scatter/44s.png,./data/real/44r.png
45,./data/scatter/45s.png,./data/real/45r.png
46,./data/scatter/46s.png,./data/real/46r.png
47,./data/scatter/47s.png,./data/real/47r.png
48,./data/scatter/48s.png,./data/real/48r.png
49,./data/scatter/49s.png,./data/real/49r.png
50,./data/scatter/50s.png,./data/real/50r.png
51,./data/scatter/51s.png,./data/real/51r.png
52,./data/scatter/52s.png,./data/real/52r.png
53,./data/scatter/53s.png,./data/real/53r.png
54,./data/scatter/54s.png,./data/real/54r.png
55,./data/scatter/55s.png,./data/real/55r.png
56,./data/scatter/56s.png,./data/real/56r.png
57,./data/scatter/57s.png,./data/real/57r.png
58,./data/scatter/58s.png,./data/real/58r.png
59,./data/scatter/59s.png,./data/real/59r.png
60,./data/scatter/60s.png,./data/real/60r.png
61,./data/scatter/61s.png,./data/real/61r.png
62,./data/scatter/62s.png,./data/real/62r.png
63,./data/scatter/63s.png,./data/real/63r.png
64,./data/scatter/64s.png,./data/real/64r.png
65,./data/scatter/65s.png,./data/real/65r.png
66,./data/scatter/66s.png,./data/real/66r.png
67,./data/scatter/67s.png,./data/real/67r.png
68,./data/scatter/68s.png,./data/real/68r.png
69,./data/scatter/69s.png,./data/real/69r.png
70,./data/scatter/70s.png,./data/real/70r.png
71,./data/scatter/71s.png,./data/real/71r.png
72,./data/scatter/72s.png,./data/real/72r.png
73,./data/scatter/73s.png,./data/real/73r.png
74,./data/scatter/74s.png,./data/real/74r.png
75,./data/scatter/75s.png,./data/real/75r.png
76,./data/scatter/76s.png,./data/real/76r.png
77,./data/scatter/77s.png,./data/real/77r.png
78,./data/scatter/78s.png,./data/real/78r.png
79,./data/scatter/79s.png,./data/real/79r.png
80,./data/scatter/80s.png,./data/real/80r.png
81,./data/scatter/81s.png,./data/real/81r.png
82,./data/scatter/82s.png,./data/real/82r.png
83,./data/scatter/83s.png,./data/real/83r.png
84,./data/scatter/84s.png,./data/real/84r.png
85,./data/scatter/85s.png,./data/real/85r.png
86,./data/scatter/86s.png,./data/real/86r.png
87,./data/scatter/87s.png,./data/real/87r.png
88,./data/scatter/88s.png,./data/real/88r.png
89,./data/scatter/89s.png,./data/real/89r.png
90,./data/scatter/90s.png,./data/real/90r.png
91,./data/scatter/91s.png,./data/real/91r.png
92,./data/scatter/92s.png,./data/real/92r.png
93,./data/scatter/93s.png,./data/real/93r.png
94,./data/scatter/94s.png,./data/real/94r.png
95,./data/scatter/95s.png,./data/real/95r.png
96,./data/scatter/96s.png,./data/real/96r.png
97,./data/scatter/97s.png,./data/real/97r.png
98,./data/scatter/98s.png,./data/real/98r.png
99,./data/scatter/99s.png,./data/real/99r.png
100,./data/scatter/100s.png,./data/real/100r.png
101,./data/scatter/101s.png,./data/real/101r.png
102,./data/scatter/102s.png,./data/real/102r.png
103,./data/scatter/103s.png,./data/real/103r.png
104,./data/scatter/104s.png,./data/real/104r.png
105,./data/scatter/105s.png,./data/real/105r.png
106,./data/scatter/106s.png,./data/real/106r.png
107,./data/scatter/107s.png,./data/real/107r.png
108,./data/scatter/108s.png,./data/real/108r.png
109,./data/scatter/109s.png,./data/real/109r.png
110,./data/scatter/110s.png,./data/real/110r.png
111,./data/scatter/111s.png,./data/real/111r.png
112,./data/scatter/112s.png,./data/real/112r.png
113,./data/scatter/113s.png,./data/real/113r.png
114,./data/scatter/114s.png,./data/real/114r.png
115,./data/scatter/115s.png,./data/real/115r.png
116,./data/scatter/116s.png,./data/real/116r.png
117,./data/scatter/117s.png,./data/real/117r.png
118,./data/scatter/118s.png,./data/real/118r.png
119,./data/scatter/119s.png,./data/real/119r.png
120,./data/scatter/120s.png,./data/real/120r.png
121,./data/scatter/121s.png,./data/real/121r.png
122,./data/scatter/122s.png,./data/real/122r.png
123,./data/scatter/123s.png,./data/real/123r.png
124,./data/scatter/124s.png,./data/real/124r.png
125,./data/scatter/125s.png,./data/real/125r.png
126,./data/scatter/126s.png,./data/real/126r.png
127,./data/scatter/127s.png,./data/real/127r.png
128,./data/scatter/128s.png,./data/real/128r.png
129,./data/scatter/129s.png,./data/real/129r.png
130,./data/scatter/130s.png,./data/real/130r.png
131,./data/scatter/131s.png,./data/real/131r.png
132,./data/scatter/132s.png,./data/real/132r.png
133,./data/scatter/133s.png,./data/real/133r.png
